,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1731,1732,2019-05-19,2019-05-19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1734,1735,2019-08-06,2019-06-13,6,3,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
1735,1736,2018-09-18,2019-10-06,266,35,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FI
1736,1737,2019-11-06,2019-11-06,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1737,1738,2019-03-06,2019-08-06,6,2,2,156,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,GR
1738,1739,2019-08-04,2019-05-24,47,3,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1739,1740,2019-05-19,2019-05-19,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VE
1740,1741,2019-05-23,2019-05-23,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BG
1741,1742,2019-05-25,2019-06-15,22,6,2,86,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1743,1744,2019-07-05,2019-11-06,36,21,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CS
1744,1745,2019-06-16,2019-06-16,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
1745,1746,2018-01-21,2019-01-06,497,105,1,173,133,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,ITA,BA
1746,1747,2019-05-14,2019-06-14,32,7,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CR
1747,1748,2019-01-03,2019-06-16,108,23,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1750,1751,2019-01-02,2019-05-27,116,17,1,173,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VE
1751,1752,2019-05-06,2019-05-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1752,1753,2019-05-24,2019-05-24,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1756,1757,2019-06-14,2019-06-16,3,2,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VR
1758,1759,2019-11-06,2019-11-06,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CB
1761,1762,2019-06-06,2019-06-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1762,1763,2019-10-06,2019-10-06,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RN
1763,1764,2019-04-14,2019-06-13,61,11,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
1767,1768,2019-12-06,2019-12-06,1,1,2,11,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
1768,1769,2019-05-22,2019-05-22,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TO
1769,1770,2019-05-24,2019-03-06,11,2,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1771,1772,2019-05-18,2019-05-18,1,1,2,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MO
1773,1774,2019-05-27,2019-05-27,1,1,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PG
1774,1775,2019-11-06,2019-11-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FG
1775,1776,2019-01-22,2019-05-27,126,14,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CN
1776,1777,2018-05-10,2019-04-06,243,32,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1777,1778,2018-12-29,2019-10-06,164,26,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,UD
1781,1782,2019-10-06,2019-10-06,1,1,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1782,1783,2018-06-20,2019-06-14,360,72,1,173,133,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,3,ITA,MI
1783,1784,2019-10-06,2019-11-06,2,2,2,253,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,ITA,GE
1784,1785,2019-05-30,2019-05-30,1,1,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FI
1785,1786,2019-04-18,2019-05-16,29,3,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1787,1788,2019-05-31,2019-01-06,2,2,2,156,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1788,1789,2019-04-16,2019-06-14,60,13,2,156,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MO
1791,1792,2019-05-06,2019-05-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
1792,1793,2019-06-14,2019-06-14,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RA
1793,1794,2019-12-05,2019-12-06,32,6,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,TN
1794,1795,2019-08-05,2019-06-14,38,14,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,CL
1795,1796,2019-05-25,2019-05-25,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NA
1797,1798,2018-06-20,2019-05-22,337,59,1,173,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,ITA,RM
1798,1799,2018-08-03,2019-06-15,465,117,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BZ
1799,1800,2019-02-05,2019-05-19,18,4,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FI
1800,1801,2019-05-15,2019-05-17,3,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BI
1801,1802,2019-05-28,2019-05-28,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1802,1803,2019-05-18,2019-05-18,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PD
1803,1804,2019-06-06,2019-06-06,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1804,1805,2019-02-05,2019-06-14,44,17,2,11,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MB
1805,1806,2019-02-04,2019-05-19,48,6,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1806,1807,2019-01-06,2019-01-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,AO
1809,1810,2018-06-20,2019-06-15,361,249,1,173,133,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ITA,SR
1810,1811,2019-01-14,2019-06-15,153,24,1,173,133,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,ITA,LU
1812,1813,2019-12-06,2019-12-06,1,1,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VE
1813,1814,2019-05-19,2019-05-19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VA
1814,1815,2019-05-27,2019-11-06,16,3,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MT
