,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1480,5069,2019-06-16 00:00:00.000000,2019-06-16 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1481,5074,2017-06-15 00:00:00.000000,2019-05-06 00:00:00.000000,721,136,1.0,*,131.0,1,0,0,1,0,3,0,0,3,3,0,0,0,0,0,0,0,0,*,*
1482,5077,2019-05-23 00:00:00.000000,2019-05-23 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1483,5079,2019-06-06 00:00:00.000000,2019-06-06 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1484,5087,2018-06-26 00:00:00.000000,2019-06-16 00:00:00.000000,356,172,*,*,133.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,ITA,MN
1485,5088,2018-06-20 00:00:00.000000,2019-06-16 00:00:00.000000,362,335,1.0,173.0,*,1,10,0,8,0,5,0,0,0,0,1,4,0,0,1,0,0,15,ITA,RM
1486,5092,2019-08-05 00:00:00.000000,2019-05-25 00:00:00.000000,18,2,1.0,173.0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1487,5094,2019-12-06 00:00:00.000000,2019-06-13 00:00:00.000000,2,2,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1488,5098,2019-12-05 00:00:00.000000,2019-05-20 00:00:00.000000,9,2,1.0,254.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1489,5099,2019-04-27 00:00:00.000000,2019-05-26 00:00:00.000000,30,7,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1490,5100,2019-06-14 00:00:00.000000,2019-06-14 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1491,5102,2018-03-08 00:00:00.000000,2019-06-14 00:00:00.000000,316,59,1.0,173.0,133.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,*,*
1492,5106,2019-02-06 00:00:00.000000,2019-02-06 00:00:00.000000,1,1,5.0,227.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1493,5107,2019-08-06 00:00:00.000000,2019-08-06 00:00:00.000000,1,1,2.0,255.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1494,5109,2019-06-16 00:00:00.000000,2019-06-16 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1495,5116,2019-08-06 00:00:00.000000,2019-08-06 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1496,5118,2019-05-28 00:00:00.000000,2019-05-28 00:00:00.000000,1,1,1.0,254.0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1497,5120,2019-07-04 00:00:00.000000,2019-04-06 00:00:00.000000,59,11,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1498,5125,2019-12-04 00:00:00.000000,2019-05-16 00:00:00.000000,35,3,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1499,5127,2019-05-23 00:00:00.000000,2019-08-06 00:00:00.000000,17,2,1.0,254.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1500,5132,2017-01-06 00:00:00.000000,2019-06-14 00:00:00.000000,744,659,1.0,173.0,*,2,80,1,7,4,13,0,0,4,0,248,1,0,0,3,0,0,0,ITA,RM
1501,5135,2019-09-06 00:00:00.000000,2019-06-14 00:00:00.000000,6,4,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1502,5141,2019-12-06 00:00:00.000000,2019-12-06 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1503,5144,2019-05-15 00:00:00.000000,2019-05-19 00:00:00.000000,5,3,2.0,86.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1504,5155,2019-04-30 00:00:00.000000,2019-05-21 00:00:00.000000,22,7,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1505,5157,2019-05-16 00:00:00.000000,2019-05-16 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1506,5163,2019-05-06 00:00:00.000000,2019-05-06 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
