?uuid,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta
2154,12/10/18,16/06/19,248,69,1,128,131,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,ITA-PU
2155,03/06/17,11/06/19,739,154,1,,131,4,3,0,1,0,1,3,1,7,2,0,5,0,0,0,0,0,0,ITA-MI
2156,01/06/18,16/06/19,381,338,1,,133,1,1,0,34,1,2,0,0,2,0,246,0,0,0,0,0,0,0,ITA-RM
2157,23/05/19,23/05/19,1,1,2,246,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RE
2158,06/05/19,16/05/19,11,2,2,156,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MO
2159,16/02/19,12/06/19,117,40,2,255,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RE
2160,25/05/19,25/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-FC
2161,02/06/19,16/06/19,15,2,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RE
2162,10/06/19,11/06/19,2,2,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PU
2163,20/06/18,15/06/19,361,133,5,227,,0,7,0,14,4,10,4,0,4,0,9,9,0,0,0,0,1,1,ITA-RM
2164,04/04/19,03/06/19,61,12,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CR
2165,06/04/19,28/05/19,53,11,1,128,131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2166,10/06/19,13/06/19,4,2,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2167,05/05/19,18/05/19,14,10,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TO
2168,03/06/19,03/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2169,24/05/19,24/05/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
2170,23/05/19,30/05/19,8,4,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TR
2171,20/05/19,03/06/19,15,4,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-CR
2172,29/05/19,29/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2173,31/08/18,16/06/19,290,129,1,173,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MO
2174,20/05/19,21/05/19,2,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BL
2175,05/06/19,06/06/19,2,2,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-IS
2176,16/05/19,16/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-IM
2177,10/06/19,11/06/19,2,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
2178,14/06/19,14/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
2179,02/06/19,16/06/19,15,10,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2180,15/03/19,10/06/19,88,17,1,173,133,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ITA-RM
2181,17/05/19,18/05/19,2,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MB
2182,20/05/19,20/05/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PA
2183,27/06/18,12/06/19,351,165,1,173,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ITA-BG
2184,05/03/19,19/05/19,76,29,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PD
2185,14/06/19,15/06/19,2,2,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2186,14/06/19,14/06/19,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2187,11/06/19,16/06/19,6,3,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2188,20/04/19,05/06/19,47,5,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-AL
2189,12/09/18,16/06/19,278,168,1,173,133,0,0,0,1,0,1,0,0,0,0,0,1,0,0,51,0,0,0,ITA-RM
2190,19/05/19,22/05/19,4,3,2,156,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
2191,28/05/19,28/05/19,1,1,2,255,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
2192,29/05/19,29/05/19,1,1,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2193,22/03/19,16/06/19,87,78,2,251,144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,ITA-TO
2194,18/05/19,18/05/19,1,1,2,86,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MC
2195,29/05/19,29/05/19,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RE
2196,16/11/18,13/06/19,210,101,2,86,144,0,1,0,2,0,1,0,0,0,0,2,1,0,0,2,0,0,0,ITA-GE
2197,18/03/19,27/05/19,71,7,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VI
